排名,城市,省份,空气质量状况,AQI
,,,,
1,黔南,贵州,优,10
,,,,
2,湘西,湖南,优,13
,,,,
3,安顺,贵州,优,14
,,,,
4,黔东南,贵州,优,14
,,,,
5,株洲,湖南,优,15
,,,,
6,怀化,湖南,优,16
,,,,
7,毕节,贵州,优,16
,,,,
8,河池,广西,优,16
,,,,
9,青岛,山东,优,18
,,,,
10,六盘水,贵州,优,19
,,,,
11,邵阳,湖南,优,19
,,,,
12,临沂,山东,优,20
,,,,
13,日照,山东,优,20
,,,,
14,林芝,西藏,优,20
,,,,
15,杭州,浙江,优,20
,,,,
16,南昌,江西,优,20
,,,,
17,娄底,湖南,优,20
,,,,
18,甘孜,四川,优,20
,,,,
19,铜仁,贵州,优,22
,,,,
20,昭通,云南,优,22
,,,,
21,湘潭,湖南,优,22
,,,,
22,海北,青海,优,22
,,,,
23,潍坊,山东,优,22
,,,,
24,上海,上海,优,23
,,,,
25,拉萨,西藏,优,23
,,,,
26,昌都,西藏,优,23
,,,,
27,湖州,浙江,优,23
,,,,
28,绍兴,浙江,优,23
,,,,
29,长沙,湖南,优,23
,,,,
30,黔西南,贵州,优,23
,,,,
31,文山,云南,优,23
,,,,
32,乐东,海南,优,23
,,,,
33,舟山,浙江,优,24
,,,,
34,白沙,海南,优,24
,,,,
35,连云港,江苏,优,25
,,,,
36,遵义,贵州,优,25
,,,,
37,湛江,广东,优,25
,,,,
38,屯昌,海南,优,25
,,,,
39,盐城,江苏,优,26
,,,,
40,贵阳,贵州,优,26
,,,,
41,保亭,海南,优,26
,,,,
42,五指山,海南,优,26
,,,,
43,儋州,海南,优,27
,,,,
44,陵水,海南,优,27
,,,,
45,三亚,海南,优,27
,,,,
46,海口,海南,优,27
,,,,
47,雅安,四川,优,27
,,,,
48,宁波,浙江,优,27
,,,,
49,嘉峪关,甘肃,优,27
,,,,
50,大兴安岭,黑龙江,优,28
,,,,
51,山南,西藏,优,28
,,,,
52,阿里,西藏,优,28
,,,,
53,苏州,江苏,优,28
,,,,
54,阿坝,四川,优,28
,,,,
55,北海,广西,优,28
,,,,
56,昌江,海南,优,28
,,,,
57,无锡,江苏,优,29
,,,,
58,景德镇,江西,优,29
,,,,
59,克拉玛依,新疆,优,29
,,,,
60,酒泉,甘肃,优,29
,,,,
61,张掖,甘肃,优,29
,,,,
62,海西,青海,优,30
,,,,
63,庆阳,甘肃,优,30
,,,,
64,宣城,安徽,优,30
,,,,
65,乐山,四川,优,30
,,,,
66,凉山,四川,优,30
,,,,
67,东方,海南,优,30
,,,,
68,遂宁,四川,优,31
,,,,
69,烟台,山东,优,31
,,,,
70,莱芜,山东,优,31
,,,,
71,塔城,新疆,优,32
,,,,
72,嘉兴,浙江,优,32
,,,,
73,衡阳,湖南,优,32
,,,,
74,郴州,湖南,优,32
,,,,
75,桂林,广西,优,32
,,,,
76,琼中,海南,优,32
,,,,
77,扬州,江苏,优,33
,,,,
78,南宁,广西,优,33
,,,,
79,泰州,江苏,优,33
,,,,
80,兴安盟,内蒙古,优,33
,,,,
81,盘锦,辽宁,优,33
,,,,
82,大连,辽宁,优,33
,,,,
83,辽阳,辽宁,优,34
,,,,
84,威海,山东,优,34
,,,,
85,阿勒泰,新疆,优,34
,,,,
86,北屯,新疆,优,34
,,,,
87,日喀则,西藏,优,34
,,,,
88,金昌,甘肃,优,34
,,,,
89,天门,湖北,优,34
,,,,
90,中山,广东,优,34
,,,,
91,阳江,广东,优,34
,,,,
92,永州,湖南,优,35
,,,,
93,定安,海南,优,35
,,,,
94,东营,山东,优,35
,,,,
95,衢州,浙江,优,35
,,,,
96,南通,江苏,优,35
,,,,
97,南京,江苏,优,35
,,,,
98,南平,福建,优,36
,,,,
99,黑河,黑龙江,优,36
,,,,
100,广元,四川,优,36
,,,,
101,抚州,江西,优,36
,,,,
102,汕尾,广东,优,36
,,,,
103,池州,安徽,优,36
,,,,
104,黄山,安徽,优,36
,,,,
105,淮安,江苏,优,36
,,,,
106,葫芦岛,辽宁,优,36
,,,,
107,珠海,广东,优,37
,,,,
108,迪庆,云南,优,37
,,,,
109,万宁,海南,优,37
,,,,
110,香港,香港,优,37
,,,,
111,玉树,青海,优,37
,,,,
112,鞍山,辽宁,优,38
,,,,
113,萍乡,江西,优,38
,,,,
114,益阳,湖南,优,38
,,,,
115,广安,四川,优,38
,,,,
116,临高,海南,优,39
,,,,
117,澄迈,海南,优,39
,,,,
118,昌吉,新疆,优,39
,,,,
119,宜春,江西,优,39
,,,,
120,台州,浙江,优,39
,,,,
121,辽源,吉林,优,39
,,,,
122,防城港,广西,优,40
,,,,
123,钦州,广西,优,40
,,,,
124,红河,云南,优,40
,,,,
125,茂名,广东,优,40
,,,,
126,云浮,广东,优,40
,,,,
127,内江,四川,优,40
,,,,
128,巴中,四川,优,40
,,,,
129,南充,四川,优,40
,,,,
130,常德,湖南,优,40
,,,,
131,芜湖,安徽,优,40
,,,,
132,天水,甘肃,优,40
,,,,
133,石河子,新疆,优,40
,,,,
134,呼伦贝尔,内蒙古,优,40
,,,,
135,鄂尔多斯,内蒙古,优,40
,,,,
136,营口,辽宁,优,40
,,,,
137,玉林,广西,优,41
,,,,
138,佛山,广东,优,41
,,,,
139,五家渠,新疆,优,41
,,,,
140,恩施,湖北,优,41
,,,,
141,吐鲁番,新疆,优,41
,,,,
142,本溪,辽宁,优,41
,,,,
143,汉中,陕西,优,42
,,,,
144,乌鲁木齐,新疆,优,42
,,,,
145,吉安,江西,优,42
,,,,
146,丽江,云南,优,42
,,,,
147,锡林郭勒,内蒙古,优,42
,,,,
148,九江,江西,优,43
,,,,
149,鹰潭,江西,优,43
,,,,
150,安庆,安徽,优,43
,,,,
151,孝感,湖北,优,43
,,,,
152,资阳,四川,优,44
,,,,
153,眉山,四川,优,44
,,,,
154,达州,四川,优,44
,,,,
155,海东,青海,优,45
,,,,
156,随州,湖北,优,45
,,,,
157,马鞍山,安徽,优,45
,,,,
158,琼海,海南,优,45
,,,,
159,西双版纳,云南,优,46
,,,,
160,文昌,海南,优,46
,,,,
161,梧州,广西,优,46
,,,,
162,温州,浙江,优,46
,,,,
163,深圳,广东,优,46
,,,,
164,吉林,吉林,优,46
,,,,
165,锦州,辽宁,优,46
,,,,
166,惠州,广东,优,47
,,,,
167,上饶,江西,优,48
,,,,
168,江门,广东,优,48
,,,,
169,张家界,湖南,优,48
,,,,
170,新余,江西,优,48
,,,,
171,铜陵,安徽,优,48
,,,,
172,宿迁,江苏,优,48
,,,,
173,果洛,青海,优,48
,,,,
174,松原,吉林,优,48
,,,,
175,重庆,重庆,优,48
,,,,
176,安康,陕西,优,49
,,,,
177,枣庄,山东,优,49
,,,,
178,武威,甘肃,优,49
,,,,
179,金华,浙江,优,49
,,,,
180,宜宾,四川,优,49
,,,,
181,德阳,四川,优,49
,,,,
182,普洱,云南,优,49
,,,,
183,咸宁,湖北,优,50
,,,,
184,丹东,辽宁,良,51
,,,,
185,乌兰察布,内蒙古,良,51
,,,,
186,阜新,辽宁,良,52
,,,,
187,信阳,河南,良,52
,,,,
188,黄冈,湖北,良,52
,,,,
189,宿州,安徽,良,52
,,,,
190,岳阳,湖南,良,52
,,,,
191,泸州,四川,良,52
,,,,
192,百色,广西,良,53
,,,,
193,肇庆,广东,良,53
,,,,
194,蚌埠,安徽,良,53
,,,,
195,镇江,江苏,良,53
,,,,
196,博尔塔拉,新疆,良,53
,,,,
197,定西,甘肃,良,53
,,,,
198,秦皇岛,河北,良,53
,,,,
199,四平,吉林,良,53
,,,,
200,绥化,黑龙江,良,53
,,,,
201,双河,新疆,良,53
,,,,
202,绵阳,四川,良,54
,,,,
203,怒江,云南,良,54
,,,,
204,大理,云南,良,54
,,,,
205,梅州,广东,良,54
,,,,
206,广州,广东,良,54
,,,,
207,福州,福建,良,54
,,,,
208,自贡,四川,良,54
,,,,
209,宁德,福建,良,54
,,,,
210,海南,青海,良,54
,,,,
211,哈密,新疆,良,54
,,,,
212,商洛,陕西,良,54
,,,,
213,朝阳,辽宁,良,54
,,,,
214,铁岭,辽宁,良,55
,,,,
215,常州,江苏,良,55
,,,,
216,清远,广东,良,56
,,,,
217,龙岩,福建,良,57
,,,,
218,呼和浩特,内蒙古,良,57
,,,,
219,阿克苏,新疆,良,57
,,,,
220,哈尔滨,黑龙江,良,57
,,,,
221,伊春,黑龙江,良,58
,,,,
222,鄂州,湖北,良,58
,,,,
223,合肥,安徽,良,58
,,,,
224,汕头,广东,良,58
,,,,
225,东莞,广东,良,58
,,,,
226,柳州,广西,良,58
,,,,
227,攀枝花,四川,良,59
,,,,
228,丽水,浙江,良,59
,,,,
229,武汉,湖北,良,59
,,,,
230,沈阳,辽宁,良,59
,,,,
231,长春,吉林,良,59
,,,,
232,黄南,青海,良,60
,,,,
233,白城,吉林,良,61
,,,,
234,西宁,青海,良,61
,,,,
235,临夏,甘肃,良,61
,,,,
236,甘南,甘肃,良,61
,,,,
237,曲靖,云南,良,62
,,,,
238,十堰,湖北,良,62
,,,,
239,巴音郭楞,新疆,良,62
,,,,
240,延边,吉林,良,62
,,,,
241,黄石,湖北,良,62
,,,,
242,泰安,山东,良,63
,,,,
243,双鸭山,黑龙江,良,64
,,,,
244,伊犁,新疆,良,64
,,,,
245,可克达拉,新疆,良,64
,,,,
246,六安,安徽,良,64
,,,,
247,赣州,江西,良,64
,,,,
248,楚雄,云南,良,65
,,,,
249,贵港,广西,良,65
,,,,
250,徐州,江苏,良,65
,,,,
251,济南,山东,良,65
,,,,
252,通化,吉林,良,65
,,,,
253,大庆,黑龙江,良,67
,,,,
254,张家口,河北,良,67
,,,,
255,铁门关,新疆,良,67
,,,,
256,滁州,安徽,良,67
,,,,
257,成都,四川,良,67
,,,,
258,昆明,云南,良,67
,,,,
259,玉溪,云南,良,67
,,,,
260,澳门,澳门,良,68
,,,,
261,贺州,广西,良,68
,,,,
262,宜昌,湖北,良,68
,,,,
263,德宏,云南,良,68
,,,,
264,吕梁,山西,良,68
,,,,
265,通辽,内蒙古,良,68
,,,,
266,佳木斯,黑龙江,良,69
,,,,
267,淄博,山东,良,69
,,,,
268,那曲,西藏,良,69
,,,,
269,抚顺,辽宁,良,70
,,,,
270,朔州,山西,良,70
,,,,
271,宝鸡,陕西,良,70
,,,,
272,荆州,湖北,良,70
,,,,
273,莆田,福建,良,70
,,,,
274,许昌,河南,良,71
,,,,
275,乌海,内蒙古,良,71
,,,,
276,延安,陕西,良,72
,,,,
277,银川,宁夏,良,72
,,,,
278,保山,云南,良,73
,,,,
279,阿拉善盟,内蒙古,良,73
,,,,
280,韶关,广东,良,73
,,,,
281,大同,山西,良,73
,,,,
282,滨州,山东,良,74
,,,,
283,喀什,新疆,良,74
,,,,
284,石嘴山,宁夏,良,74
,,,,
285,漳州,福建,良,74
,,,,
286,崇左,广西,良,74
,,,,
287,鸡西,黑龙江,良,75
,,,,
288,杨凌,陕西,良,75
,,,,
289,周口,河南,良,75
,,,,
290,三明,福建,良,75
,,,,
291,齐齐哈尔,黑龙江,良,76
,,,,
292,兰州,甘肃,良,76
,,,,
293,运城,山西,良,77
,,,,
294,漯河,河南,良,77
,,,,
295,济宁,山东,良,77
,,,,
296,长治,山西,良,77
,,,,
297,牡丹江,黑龙江,良,77
,,,,
298,唐山,河北,良,77
,,,,
299,渭南,陕西,良,77
,,,,
300,承德,河北,良,77
,,,,
301,咸阳,陕西,良,78
,,,,
302,开封,河南,良,78
,,,,
303,潜江,湖北,良,78
,,,,
304,赤峰,内蒙古,良,78
,,,,
305,揭阳,广东,良,79
,,,,
306,河源,广东,良,79
,,,,
307,淮南,安徽,良,79
,,,,
308,榆林,陕西,良,79
,,,,
309,七台河,黑龙江,良,79
,,,,
310,淮北,安徽,良,80
,,,,
311,晋城,山西,良,80
,,,,
312,西安,陕西,良,81
,,,,
313,荆门,湖北,良,82
,,,,
314,沧州,河北,良,83
,,,,
315,厦门,福建,良,83
,,,,
316,铜川,陕西,良,84
,,,,
317,驻马店,河南,良,84
,,,,
318,天津,天津,良,85
,,,,
319,白山,吉林,良,85
,,,,
320,临沧,云南,良,87
,,,,
321,廊坊,河北,良,87
,,,,
322,泉州,福建,良,87
,,,,
323,邯郸,河北,良,89
,,,,
324,和田,新疆,良,89
,,,,
325,昆玉,新疆,良,89
,,,,
326,三门峡,河南,良,89
,,,,
327,亳州,安徽,良,89
,,,,
328,潮州,广东,良,89
,,,,
329,来宾,广西,良,89
,,,,
330,临汾,山西,良,90
,,,,
331,保定,河北,良,91
,,,,
332,仙桃,湖北,良,91
,,,,
333,衡水,河北,良,92
,,,,
334,阜阳,安徽,良,92
,,,,
335,商丘,河南,良,93
,,,,
336,神农架,湖北,良,93
,,,,
337,鹤岗,黑龙江,良,94
,,,,
338,菏泽,山东,良,94
,,,,
339,郑州,河南,良,94
,,,,
340,洛阳,河南,良,94
,,,,
341,濮阳,河南,良,94
,,,,
342,安阳,河南,良,96
,,,,
343,襄阳,湖北,良,98
,,,,
344,德州,山东,良,98
,,,,
345,晋中,山西,良,98
,,,,
346,邢台,河北,良,99
,,,,
347,聊城,山东,良,99
,,,,
348,白银,甘肃,良,99
,,,,
349,包头,内蒙古,良,100
,,,,
350,石家庄,河北,轻度,104
,,,,
351,鹤壁,河南,轻度,104
,,,,
352,北京,北京,轻度,109
,,,,
353,新乡,河南,轻度,110
,,,,
354,南阳,河南,轻度,114
,,,,
355,平顶山,河南,轻度,117
,,,,
356,济源,河南,轻度,118
,,,,
357,焦作,河南,轻度,120
,,,,
358,阳泉,山西,轻度,128
,,,,
359,忻州,山西,轻度,137
,,,,
360,太原,山西,轻度,144
,,,,
361,吴忠,宁夏,中度,160
,,,,
362,平凉,甘肃,中度,166
,,,,
363,巴彦淖尔,内蒙古,中度,184
,,,,
364,固原,宁夏,重度,202
,,,,
365,中卫,宁夏,严重,398
