省份,累积确诊,现存确诊,死亡,治愈
北京,28389,11607,20,16762
湖北,68864,239,4512,64113
广东,62367,10000,8,52359
浙江,6198,1368,1,4829
河南,9047,2469,23,6555
湖南,2868,709,4,2155
重庆,9972,2530,7,7435
安徽,1704,23,6,1675
四川,11902,1571,5,10326
山东,4782,360,8,4414
吉林,40487,40,5,40442
福建,7977,745,1,7231
江西,1549,8,1,1540
江苏,3847,53,0,3794
上海,65374,603,595,64176
广西,2447,42,2,2403
海南,10434,1262,6,9166
陕西,5558,448,3,5107
河北,2929,93,7,2829
黑龙江,5473,218,13,5242
辽宁,3087,208,2,2877
云南,5404,1022,2,4380
天津,2882,267,3,2612
山西,5096,1052,0,4044
甘肃,1563,6,2,1555
内蒙古,8389,76,1,8312
台湾,8605539,8576866,14931,13742
澳门,1659,373,16,1270
香港,489096,371068,11243,106785
贵州,1794,85,2,1707
西藏,1522,4,0,1518
青海,536,46,0,490
新疆,2632,0,3,2629
宁夏,241,3,0,238
