Source,Target,Type,Weight
宽敞,舒服,Undirected,22
宽敞,卫生,Undirected,13
宽敞,干净,Undirected,44
宽敞,不错,Undirected,20
宽敞,整洁,Undirected,13
宽敞,舒适,Undirected,22
舒服,卫生,Undirected,76
舒服,漂亮,Undirected,13
舒服,便利,Undirected,29
舒服,不错,Undirected,95
舒服,高,Undirected,34
舒服,惊喜,Undirected,13
舒服,整洁,Undirected,62
舒服,完美,Undirected,12
舒服,很大,Undirected,28
舒服,便宜,Undirected,11
舒服,棒,Undirected,15
舒服,舒适,Undirected,55
舒服,耐心,Undirected,12
舒服,确实,Undirected,13
舒服,很好,Undirected,19
舒服,清新,Undirected,10
舒服,新,Undirected,17
舒服,很棒,Undirected,45
舒服,配套,Undirected,10
舒服,柔软,Undirected,12
舒服,精致,Undirected,10
舒服,亲切,Undirected,13
舒服,惬意,Undirected,14
卫生,漂亮,Undirected,15
卫生,便利,Undirected,21
卫生,不错,Undirected,97
卫生,高,Undirected,24
卫生,整洁,Undirected,50
卫生,很大,Undirected,14
卫生,棒,Undirected,11
卫生,舒适,Undirected,49
卫生,很好,Undirected,17
卫生,新,Undirected,14
卫生,很棒,Undirected,34
卫生,精致,Undirected,10
干净,暖,Undirected,10
干净,漂亮,Undirected,30
干净,便利,Undirected,65
干净,细致,Undirected,10
干净,明亮,Undirected,10
干净,高,Undirected,64
干净,优雅,Undirected,11
干净,惊喜,Undirected,23
干净,温暖,Undirected,17
干净,优越,Undirected,22
干净,完美,Undirected,17
干净,很大,Undirected,42
干净,便宜,Undirected,10
干净,棒,Undirected,19
干净,耐心,Undirected,16
干净,确实,Undirected,10
干净,很好,Undirected,32
干净,舒心,Undirected,18
干净,清新,Undirected,22
干净,友好,Undirected,14
干净,新,Undirected,25
干净,很棒,Undirected,56
干净,简洁,Undirected,11
干净,配套,Undirected,23
干净,柔软,Undirected,17
干净,精致,Undirected,22
干净,愉快,Undirected,12
干净,亲切,Undirected,14
干净,丰盛,Undirected,10
漂亮,不错,Undirected,13
便利,不错,Undirected,39
便利,高,Undirected,10
便利,整洁,Undirected,35
便利,舒适,Undirected,28
不错,高,Undirected,48
不错,整洁,Undirected,60
不错,优越,Undirected,10
不错,很大,Undirected,26
不错,棒,Undirected,10
不错,舒适,Undirected,84
不错,耐心,Undirected,11
不错,确实,Undirected,23
不错,很好,Undirected,22
不错,新,Undirected,15
不错,很棒,Undirected,34
不错,配套,Undirected,12
不错,精致,Undirected,16
不错,亲切,Undirected,10
高,整洁,Undirected,32
高,舒适,Undirected,23
高,很棒,Undirected,12
整洁,很大,Undirected,12
整洁,舒适,Undirected,52
整洁,很好,Undirected,14
整洁,新,Undirected,10
整洁,很棒,Undirected,19
优越,舒适,Undirected,13
很大,舒适,Undirected,16
很大,很棒,Undirected,11
棒,很棒,Undirected,13
舒适,耐心,Undirected,10
舒适,很好,Undirected,11
舒适,新,Undirected,10
舒适,很棒,Undirected,15
舒适,配套,Undirected,10
舒适,柔软,Undirected,18
舒适,精致,Undirected,13
舒适,充足,Undirected,10
舒适,亲切,Undirected,11
